,Year,Country,Code,z
0,2000,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[2.67e+04 2.35e+03 8.28e+04 2.35e+04 5.98e+02 2.21e+04 3.65e+03 1.00e+00
 2.44e+02 4.79e+02 3.60e+04 0.00e+00 4.70e+03 2.13e+05 5.09e+04 1.38e+06
 3.45e+03 3.55e+02 1.40e+04 4.40e+04 2.95e+03 0.00e+00 0.00e+00 5.80e+01
 1.90e+03 5.60e+01 2.29e+03 2.12e+05 3.06e+05 3.25e+02 6.24e+03 6.60e+03
 6.76e+02 4.02e+02 8.60e+01 1.79e+03 8.80e+01 0.00e+00 2.07e+04 7.64e+02
 7.11e+04 2.77e+03 1.19e+03 1.10e+01 3.63e+03 1.10e+04 1.50e+05]"
1,2001,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[3.60e+04 9.31e+03 8.97e+04 3.31e+04 1.45e+03 2.39e+04 5.35e+03 0.00e+00
 7.02e+02 1.18e+03 4.94e+04 0.00e+00 6.47e+03 2.54e+05 9.63e+04 1.53e+06
 3.14e+03 3.83e+02 9.36e+03 5.08e+04 4.89e+03 3.50e+02 0.00e+00 1.23e+02
 7.26e+02 5.90e+01 1.93e+03 2.23e+05 3.48e+05 4.14e+02 1.16e+04 6.82e+03
 2.99e+02 2.70e+02 6.09e+02 2.48e+03 1.99e+02 0.00e+00 2.74e+04 1.41e+02
 8.11e+04 5.03e+03 1.32e+03 7.60e+01 7.00e+03 9.04e+03 1.05e+05]"
2,2002,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[4.52e+04 1.54e+04 8.81e+04 3.87e+04 6.00e+01 5.84e+03 6.68e+03 0.00e+00
 7.92e+02 1.24e+03 3.02e+04 0.00e+00 4.03e+03 2.50e+05 1.79e+05 1.58e+06
 2.18e+03 5.71e+02 8.16e+03 4.82e+04 3.99e+03 4.39e+02 1.41e+03 1.86e+02
 4.59e+02 6.90e+01 3.17e+03 2.42e+05 3.21e+05 6.86e+02 1.43e+04 9.91e+03
 3.62e+02 1.85e+03 1.19e+02 2.50e+03 1.67e+02 1.40e+01 2.78e+04 2.95e+02
 8.92e+04 7.25e+03 3.03e+03 1.34e+02 9.73e+03 9.76e+03 8.44e+04]"
3,2003,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[4.55e+04 1.68e+04 9.61e+04 3.99e+04 2.10e+01 7.89e+03 6.69e+03 2.00e+00
 7.19e+02 2.65e+03 2.80e+04 3.00e+00 3.65e+03 2.66e+05 1.87e+05 1.61e+06
 2.32e+03 2.82e+02 6.78e+03 5.98e+04 3.25e+03 8.60e+01 1.44e+03 6.73e+02
 4.37e+02 1.00e+00 2.21e+03 2.49e+05 3.12e+05 5.39e+02 7.80e+03 1.02e+04
 2.74e+02 2.80e+02 4.79e+02 2.77e+03 7.10e+01 9.00e+01 2.94e+04 3.69e+02
 8.13e+04 6.57e+03 2.12e+03 1.21e+02 9.52e+03 1.03e+04 8.82e+04]"
4,2004,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[5.93e+04 1.65e+04 1.05e+05 4.32e+04 1.32e+02 7.69e+03 8.87e+03 0.00e+00
 8.40e+02 1.78e+03 3.56e+04 1.00e+00 4.64e+03 2.68e+05 1.71e+05 1.70e+06
 3.16e+03 7.97e+02 7.02e+03 5.94e+04 1.17e+03 5.89e+02 7.81e+02 2.10e+03
 7.68e+02 1.10e+01 2.47e+03 2.39e+05 3.21e+05 8.73e+02 8.15e+03 1.08e+04
 2.77e+02 4.40e+01 3.95e+02 2.75e+03 6.80e+01 3.90e+01 3.46e+04 3.91e+02
 8.22e+04 7.23e+03 3.98e+03 3.46e+02 1.48e+04 1.04e+04 8.15e+04]"
5,2005,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[5.83e+04 2.32e+04 1.22e+05 4.71e+04 9.90e+01 9.71e+03 1.18e+04 1.00e+00
 1.26e+03 1.72e+03 3.91e+04 3.40e+02 8.81e+03 2.97e+05 2.38e+05 1.82e+06
 3.24e+03 7.70e+02 6.87e+03 6.75e+04 1.59e+03 4.54e+02 2.13e+02 2.16e+03
 1.02e+03 1.00e+00 5.84e+03 2.91e+05 3.66e+05 8.88e+02 8.38e+03 1.16e+04
 2.94e+02 2.18e+02 1.31e+03 3.48e+03 2.72e+02 8.00e+01 4.02e+04 1.97e+02
 9.09e+04 9.01e+03 5.57e+03 8.36e+02 1.77e+04 1.07e+04 9.00e+04]"
6,2006,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[7.40e+04 2.76e+04 1.16e+05 5.81e+04 4.55e+02 9.65e+03 1.03e+04 2.10e+01
 2.08e+03 2.28e+03 3.40e+04 1.30e+01 7.07e+03 3.26e+05 2.65e+05 1.98e+06
 4.35e+03 6.53e+02 7.83e+03 7.89e+04 1.41e+03 5.21e+02 3.95e+03 3.12e+03
 6.89e+02 5.70e+01 6.67e+03 3.25e+05 3.70e+05 9.31e+02 1.88e+04 1.26e+04
 1.73e+02 1.67e+02 1.63e+03 3.01e+03 3.41e+02 7.60e+01 3.98e+04 2.55e+02
 1.06e+05 9.78e+03 1.49e+04 7.19e+02 2.15e+04 1.15e+04 1.01e+05]"
7,2007,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[5.88e+04 2.50e+04 1.33e+05 1.06e+05 5.70e+01 1.65e+04 1.53e+04 0.00e+00
 3.27e+03 4.09e+03 3.10e+04 2.10e+01 6.69e+03 3.65e+05 3.07e+05 2.18e+06
 4.95e+03 1.46e+03 1.91e+04 1.03e+05 9.89e+02 1.84e+03 6.25e+03 3.10e+03
 7.38e+02 3.10e+02 1.02e+04 3.81e+05 3.89e+05 1.07e+03 2.92e+04 1.26e+04
 1.90e+01 6.20e+01 2.44e+03 3.48e+03 1.13e+03 1.01e+02 4.56e+04 3.05e+02
 1.21e+05 8.74e+03 1.18e+04 6.90e+02 2.84e+04 1.02e+04 1.16e+05]"
8,2008,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[2.48e+04 1.48e+04 1.33e+05 1.02e+05 1.53e+02 1.19e+04 1.39e+04 0.00e+00
 1.83e+03 3.63e+03 3.40e+04 8.00e+00 6.46e+03 3.92e+05 3.61e+05 2.23e+06
 4.93e+03 1.76e+03 8.64e+03 1.12e+05 1.27e+03 1.71e+03 8.88e+03 5.44e+03
 3.53e+02 3.98e+03 1.01e+04 3.82e+05 4.31e+05 1.74e+03 4.10e+04 1.20e+04
 1.65e+02 1.46e+02 4.46e+03 2.50e+03 4.79e+02 1.00e+02 3.83e+04 3.07e+02
 1.21e+05 7.76e+03 3.25e+04 5.54e+02 2.91e+04 1.08e+04 8.65e+04]"
9,2009,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[3.35e+04 1.16e+04 1.16e+05 5.25e+04 3.28e+03 8.29e+03 1.79e+04 8.00e+00
 1.27e+03 3.34e+03 4.23e+04 5.66e+02 4.48e+03 3.18e+05 3.29e+05 2.07e+06
 4.88e+03 2.84e+03 1.03e+04 1.12e+05 1.63e+03 1.38e+03 8.66e+03 6.95e+03
 4.56e+02 4.69e+03 1.26e+04 3.48e+05 3.88e+05 3.84e+03 4.85e+04 1.80e+04
 4.16e+02 1.92e+02 2.70e+03 4.99e+03 2.32e+02 3.40e+01 2.97e+04 4.04e+02
 1.15e+05 7.56e+03 3.02e+04 5.14e+02 3.89e+04 8.22e+03 7.19e+04]"
10,2010,"['Australia' 'Austria' 'Belgium' 'Brazil' 'Bulgaria' 'Canada' 'China'
 'Croatia' 'Cyprus' 'Czech Republic' 'Denmark' 'Estonia' 'Finland'
 'France' 'Germany' 'Great Britain' 'Greece' 'Hungary' 'India' 'Italy'
 'Japan' 'Latvia' 'Lithuania' 'Luxembourg' 'Malaysia' 'Malta' 'Mexico'
 'Netherlands' 'Northern Ireland' 'Norway' 'Poland' 'Portugal' 'Romania'
 'Russia' 'Saudi Arabia' 'Singapore' 'Slovakia' 'Slovenia' 'South Africa'
 'South Korea' 'Spain' 'Sweden' 'Switzerland' 'Taiwan' 'Thailand' 'Turkey'
 'USA']","['AU' 'AT' 'BE' 'BR' 'BG' 'CA' 'CN' 'HR' 'CY' 'CZ' 'DK' 'EE' 'FI' 'FR'
 'DE' 'XB' 'GR' 'HU' 'IN' 'IT' 'JP' 'LV' 'LT' 'LU' 'MY' 'MT' 'MX' 'NL'
 'XI' 'NO' 'PL' 'PT' 'RO' 'RU' 'SA' 'SG' 'SK' 'SI' 'ZA' 'KR' 'ES' 'SE'
 'CH' 'TW' 'TH' 'TR' 'US']","[4.42e+04 9.85e+03 1.17e+05 6.06e+04 4.35e+03 8.48e+03 2.32e+04 3.00e+00
 1.11e+03 3.17e+03 3.83e+04 2.97e+02 5.00e+03 3.18e+05 3.28e+05 2.09e+06
 5.01e+03 3.11e+03 1.27e+04 9.98e+04 4.60e+02 2.29e+03 6.56e+03 6.57e+03
 5.75e+02 4.92e+03 1.55e+04 3.79e+05 4.15e+05 1.19e+04 5.59e+04 1.90e+04
 2.05e+03 2.08e+02 3.04e+03 3.75e+03 2.74e+02 3.10e+01 2.95e+04 8.27e+02
 1.25e+05 1.09e+04 2.60e+04 6.83e+02 3.01e+04 9.87e+03 9.03e+04]"
